id,reportId,language,languageStyle,text,originalSyntheticText,sourceType,category,incidentCategory,severity,route,responsibleUnit,technicalIndicators,personalInformationLabels,incidentClusterId,expectedRedactedText,annotatorNotes,split
SYN-384,SYN-384,English,English,Audit logs show an unapproved privileged session on bursary Reported by user33@example.test on 08030000033.,Audit logs show an unapproved privileged session on bursary Reported by user33@example.test on 08030000033.,TXT,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-08-06,Audit logs show an unapproved privileged session on bursary Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-243,SYN-243,English,English,A staff laptop containing institutional files was lost during travel Reported by user42@example.test on 08030000042.,A staff laptop containing institutional files was lost during travel Reported by user42@example.test on 08030000042.,Web form,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,Email; Nigerian telephone number,CL-05-08,A staff laptop containing institutional files was lost during travel Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-480,SYN-480,English,English,Repeated requests overwhelmed library and users cannot connect,Repeated requests overwhelmed library and users cannot connect,Email,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,None,CL-10-05,Repeated requests overwhelmed library and users cannot connect,Deterministic synthetic example; human validation required.,train
SYN-250,SYN-250,English,English,My official phone was stolen and it still has access to email,My official phone was stolen and it still has access to email,Web form,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-09,My official phone was stolen and it still has access to email,Deterministic synthetic example; human validation required.,test
SYN-611,SYN-611,English,English,Please explain how to update my contact details on payroll,Please explain how to update my contact details on payroll,Image,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-02,Please explain how to update my contact details on payroll,Deterministic synthetic example; human validation required.,train
SYN-100,SYN-100,English,English,My password changed without my permission and I cannot access the account,My password changed without my permission and I cannot access the account,Web form,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-02-09,My password changed without my permission and I cannot access the account,Deterministic synthetic example; human validation required.,test
SYN-220,SYN-220,English,English,My official phone was stolen and it still has access to email,My official phone was stolen and it still has access to email,TXT,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-03,My official phone was stolen and it still has access to email,Deterministic synthetic example; human validation required.,train
SYN-037,SYN-037,Nigerian Pidgin,Nigerian Pidgin,Dem send me link https://verify-36.example.test/login say make I verify my student portal password Reported by user36@example.test on 08030000036.,Dem send me link https://verify-36.example.test/login say make I verify my student portal password Reported by user36@example.test on 08030000036.,Email,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-36.example.test/login,Email; Nigerian telephone number,CL-01-07,Dem send me link https://verify-36.example.test/login say make I verify my student portal password Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-333,SYN-333,Nigerian Pidgin,Nigerian Pidgin,Student record for email show for public folder,Student record for email show for public folder,PDF,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-06,Student record for email show for public folder,Deterministic synthetic example; human validation required.,train
SYN-697,SYN-697,English,English,Something unusual happened on student portal but I have no other details,Something unusual happened on student portal but I have no other details,PDF,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-09,Something unusual happened on student portal but I have no other details,Deterministic synthetic example; human validation required.,test
SYN-401,SYN-401,Nigerian Pidgin,Nigerian Pidgin,Fake invoice change account wey payroll suppose pay Reported by user0@example.test on 08030000000.,Fake invoice change account wey payroll suppose pay Reported by user0@example.test on 08030000000.,Web form,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,Email; Nigerian telephone number,CL-09-00,Fake invoice change account wey payroll suppose pay Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-462,SYN-462,English,English,Repeated requests overwhelmed student portal and users cannot connect,Repeated requests overwhelmed student portal and users cannot connect,PDF,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,None,CL-10-02,Repeated requests overwhelmed student portal and users cannot connect,Deterministic synthetic example; human validation required.,train
SYN-330,SYN-330,English,English,Confidential records were emailed to the wrong recipient from library,Confidential records were emailed to the wrong recipient from library,Email,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-05,Confidential records were emailed to the wrong recipient from library,Deterministic synthetic example; human validation required.,train
SYN-165,SYN-165,English,English,The laptop reports a trojan and is sending traffic to 192.0.2.15,The laptop reports a trojan and is sending traffic to 192.0.2.15,Web form,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.15,None,CL-04-02,The laptop reports a trojan and is sending traffic to 192.0.2.15,Deterministic synthetic example; human validation required.,train
SYN-628,SYN-628,English,English,I need the help desk opening time; no security incident occurred Reported by user27@example.test on 08030000027.,I need the help desk opening time; no security incident occurred Reported by user27@example.test on 08030000027.,Offline submission,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-13-05,I need the help desk opening time; no security incident occurred Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-475,SYN-475,Nigerian Pidgin,Nigerian Pidgin,Plenty traffic from 192.0.2.25 make library no dey open Reported by user24@example.test on 08030000024.,Plenty traffic from 192.0.2.25 make library no dey open Reported by user24@example.test on 08030000024.,Image,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.25,Email; Nigerian telephone number,CL-10-04,Plenty traffic from 192.0.2.25 make library no dey open Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-098,SYN-098,English,English,There was an unusual sign-in from 192.0.2.48 followed by repeated OTP messages,There was an unusual sign-in from 192.0.2.48 followed by repeated OTP messages,TXT,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.48,None,CL-02-09,There was an unusual sign-in from 192.0.2.48 followed by repeated OTP messages,Deterministic synthetic example; human validation required.,test
SYN-500,SYN-500,English,English,Repeated requests overwhelmed library and users cannot connect,Repeated requests overwhelmed library and users cannot connect,Web form,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,None,CL-10-09,Repeated requests overwhelmed library and users cannot connect,Deterministic synthetic example; human validation required.,test
SYN-286,SYN-286,English,English,A scheduled software update restarted the laptop normally,A scheduled software update restarted the laptop normally,Web form,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-07,A scheduled software update restarted the laptop normally,Deterministic synthetic example; human validation required.,train
SYN-147,SYN-147,English,English,Every document now has a strange extension and the screen says decrypt,Every document now has a strange extension and the screen says decrypt,PDF,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-09,Every document now has a strange extension and the screen says decrypt,Deterministic synthetic example; human validation required.,test
SYN-665,SYN-665,English,English,Something unusual happened on library but I have no other details,Something unusual happened on library but I have no other details,Web form,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-02,Something unusual happened on library but I have no other details,Deterministic synthetic example; human validation required.,train
SYN-390,SYN-390,English,English,Audit logs show an unapproved privileged session on library Reported by user39@example.test on 08030000039.,Audit logs show an unapproved privileged session on library Reported by user39@example.test on 08030000039.,PDF,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-08-07,Audit logs show an unapproved privileged session on library Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-179,SYN-179,Nigerian Pidgin,Nigerian Pidgin,Strange program dey run by itself and browser dey redirect,Strange program dey run by itself and browser dey redirect,Web form,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-04-05,Strange program dey run by itself and browser dey redirect,Deterministic synthetic example; human validation required.,train
SYN-056,SYN-056,English,English,There was an unusual sign-in from 192.0.2.6 followed by repeated OTP messages,There was an unusual sign-in from 192.0.2.6 followed by repeated OTP messages,TXT,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.6,None,CL-02-01,There was an unusual sign-in from 192.0.2.6 followed by repeated OTP messages,Deterministic synthetic example; human validation required.,train
SYN-137,SYN-137,Nigerian Pidgin,Nigerian Pidgin,All file for student portal don encrypt and message say make we pay ransom Reported by user36@example.test on 08030000036.,All file for student portal don encrypt and message say make we pay ransom Reported by user36@example.test on 08030000036.,Email,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-03-07,All file for student portal don encrypt and message say make we pay ransom Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-005,SYN-005,Nigerian Pidgin,Nigerian Pidgin,This scholarship WhatsApp message dey ask us to login for strange website,This scholarship WhatsApp message dey ask us to login for strange website,PDF,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-01-00,This scholarship WhatsApp message dey ask us to login for strange website,Deterministic synthetic example; human validation required.,train
SYN-631,SYN-631,English,English,Please explain how to update my contact details on payroll Reported by user30@example.test on 08030000030.,Please explain how to update my contact details on payroll Reported by user30@example.test on 08030000030.,Screenshot,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-13-06,Please explain how to update my contact details on payroll Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-190,SYN-190,English,English,Antivirus detected malware on the library after an unknown attachment opened Reported by user39@example.test on 08030000039.,Antivirus detected malware on the library after an unknown attachment opened Reported by user39@example.test on 08030000039.,PDF,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-04-07,Antivirus detected malware on the library after an unknown attachment opened Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-303,SYN-303,English,English,A public folder exposed student records from email,A public folder exposed student records from email,Screenshot,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-00,A public folder exposed student records from email,Deterministic synthetic example; human validation required.,train
SYN-552,SYN-552,English,English,The test page reveals software version details at https://verify-1.example.test/login,The test page reveals software version details at https://verify-1.example.test/login,Email,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,https://verify-1.example.test/login,None,CL-12-00,The test page reveals software version details at https://verify-1.example.test/login,Deterministic synthetic example; human validation required.,train
SYN-397,SYN-397,English,English,An unknown administrator accessed student portal from 192.0.2.47,An unknown administrator accessed student portal from 192.0.2.47,PDF,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.47,None,CL-08-09,An unknown administrator accessed student portal from 192.0.2.47,Deterministic synthetic example; human validation required.,test
SYN-579,SYN-579,Nigerian Pidgin,Nigerian Pidgin,Researcher find input validation problem for bursary,Researcher find input validation problem for bursary,Web form,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,,None,CL-12-05,Researcher find input validation problem for bursary,Deterministic synthetic example; human validation required.,train
SYN-466,SYN-466,English,English,Repeated requests overwhelmed payroll and users cannot connect Reported by user15@example.test on 08030000015.,Repeated requests overwhelmed payroll and users cannot connect Reported by user15@example.test on 08030000015.,Email,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,Email; Nigerian telephone number,CL-10-03,Repeated requests overwhelmed payroll and users cannot connect Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-453,SYN-453,English,English,Heavy traffic from 192.0.2.3 made email unavailable,Heavy traffic from 192.0.2.3 made email unavailable,Screenshot,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.3,None,CL-10-00,Heavy traffic from 192.0.2.3 made email unavailable,Deterministic synthetic example; human validation required.,train
SYN-077,SYN-077,English,English,There was an unusual sign-in from 192.0.2.27 followed by repeated OTP messages,There was an unusual sign-in from 192.0.2.27 followed by repeated OTP messages,TXT,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.27,None,CL-02-05,There was an unusual sign-in from 192.0.2.27 followed by repeated OTP messages,Deterministic synthetic example; human validation required.,train
SYN-022,SYN-022,English,English,I received an email asking me to verify my student portal password using https://verify-21.example.test/login Reported by user21@example.test on 08030000021.,I received an email asking me to verify my student portal password using https://verify-21.example.test/login Reported by user21@example.test on 08030000021.,Web form,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-21.example.test/login,Email; Nigerian telephone number,CL-01-04,I received an email asking me to verify my student portal password using https://verify-21.example.test/login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-045,SYN-045,Nigerian Pidgin,Nigerian Pidgin,Person claim say na ICT and say dem go block my account if I no sign in,Person claim say na ICT and say dem go block my account if I no sign in,Screenshot,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-01-08,Person claim say na ICT and say dem go block my account if I no sign in,Deterministic synthetic example; human validation required.,test
SYN-252,SYN-252,English,English,My printer is offline and the help desk page will not load,My printer is offline and the help desk page will not load,Email,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-00,My printer is offline and the help desk page will not load,Deterministic synthetic example; human validation required.,train
SYN-603,SYN-603,English,English,Please explain how to update my contact details on email,Please explain how to update my contact details on email,Screenshot,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-00,Please explain how to update my contact details on email,Deterministic synthetic example; human validation required.,train
SYN-290,SYN-290,English,English,The library portal is slow but there is no unusual login or password request Reported by user39@example.test on 08030000039.,The library portal is slow but there is no unusual login or password request Reported by user39@example.test on 08030000039.,PDF,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-06-07,The library portal is slow but there is no unusual login or password request Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-105,SYN-105,Nigerian Pidgin,Nigerian Pidgin,Document no dey open again and screen say we need decrypt key,Document no dey open again and screen say we need decrypt key,PDF,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-00,Document no dey open again and screen say we need decrypt key,Deterministic synthetic example; human validation required.,train
SYN-582,SYN-582,English,English,The test page reveals software version details at https://verify-31.example.test/login,The test page reveals software version details at https://verify-31.example.test/login,Image,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,https://verify-31.example.test/login,None,CL-12-06,The test page reveals software version details at https://verify-31.example.test/login,Deterministic synthetic example; human validation required.,train
SYN-374,SYN-374,English,English,Audit logs show an unapproved privileged session on bursary,Audit logs show an unapproved privileged session on bursary,Screenshot,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-08-04,Audit logs show an unapproved privileged session on bursary,Deterministic synthetic example; human validation required.,train
SYN-640,SYN-640,English,English,I need the help desk opening time; no security incident occurred Reported by user39@example.test on 08030000039.,I need the help desk opening time; no security incident occurred Reported by user39@example.test on 08030000039.,PDF,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-13-07,I need the help desk opening time; no security incident occurred Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-427,SYN-427,English,English,A fake invoice changed the payment account for student portal,A fake invoice changed the payment account for student portal,TXT,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-05,A fake invoice changed the payment account for student portal,Deterministic synthetic example; human validation required.,train
SYN-447,SYN-447,English,English,A fake invoice changed the payment account for student portal,A fake invoice changed the payment account for student portal,PDF,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-09,A fake invoice changed the payment account for student portal,Deterministic synthetic example; human validation required.,test
SYN-002,SYN-002,English,English,A scholarship message sent staff to https://verify-1.example.test/login and requested login details,A scholarship message sent staff to https://verify-1.example.test/login and requested login details,Email,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-1.example.test/login,None,CL-01-00,A scholarship message sent staff to https://verify-1.example.test/login and requested login details,Deterministic synthetic example; human validation required.,train
SYN-550,SYN-550,English,English,An employee used privileged access outside approved duties on library,An employee used privileged access outside approved duties on library,Web form,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-09,An employee used privileged access outside approved duties on library,Deterministic synthetic example; human validation required.,test
SYN-271,SYN-271,Nigerian Pidgin,Nigerian Pidgin,Normal software update restart the laptop as dem schedule am,Normal software update restart the laptop as dem schedule am,Offline submission,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-04,Normal software update restart the laptop as dem schedule am,Deterministic synthetic example; human validation required.,train
SYN-040,SYN-040,English,English,I received an email asking me to verify my library password using https://verify-39.example.test/login Reported by user39@example.test on 08030000039.,I received an email asking me to verify my library password using https://verify-39.example.test/login Reported by user39@example.test on 08030000039.,PDF,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-39.example.test/login,Email; Nigerian telephone number,CL-01-07,I received an email asking me to verify my library password using https://verify-39.example.test/login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-625,SYN-625,Nigerian Pidgin,Nigerian Pidgin,Abeg how I fit update my contact detail for library Reported by user24@example.test on 08030000024.,Abeg how I fit update my contact detail for library Reported by user24@example.test on 08030000024.,Image,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-13-04,Abeg how I fit update my contact detail for library Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-381,SYN-381,English,English,An unknown administrator accessed payroll from 192.0.2.31 Reported by user30@example.test on 08030000030.,An unknown administrator accessed payroll from 192.0.2.31 Reported by user30@example.test on 08030000030.,Screenshot,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.31,Email; Nigerian telephone number,CL-08-06,An unknown administrator accessed payroll from 192.0.2.31 Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-540,SYN-540,English,English,An employee used privileged access outside approved duties on library Reported by user39@example.test on 08030000039.,An employee used privileged access outside approved duties on library Reported by user39@example.test on 08030000039.,PDF,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,Email; Nigerian telephone number,CL-11-07,An employee used privileged access outside approved duties on library Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-360,SYN-360,English,English,Audit logs show an unapproved privileged session on library Reported by user9@example.test on 08030000009.,Audit logs show an unapproved privileged session on library Reported by user9@example.test on 08030000009.,Screenshot,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-08-01,Audit logs show an unapproved privileged session on library Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-080,SYN-080,English,English,There was an unusual sign-in from 192.0.2.30 followed by repeated OTP messages,There was an unusual sign-in from 192.0.2.30 followed by repeated OTP messages,Email,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.30,None,CL-02-05,There was an unusual sign-in from 192.0.2.30 followed by repeated OTP messages,Deterministic synthetic example; human validation required.,train
SYN-487,SYN-487,Nigerian Pidgin,Nigerian Pidgin,Plenty traffic from 192.0.2.37 make student portal no dey open Reported by user36@example.test on 08030000036.,Plenty traffic from 192.0.2.37 make student portal no dey open Reported by user36@example.test on 08030000036.,Email,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.37,Email; Nigerian telephone number,CL-10-07,Plenty traffic from 192.0.2.37 make student portal no dey open Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-547,SYN-547,English,English,A departing staff member copied restricted files from student portal,A departing staff member copied restricted files from student portal,PDF,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-09,A departing staff member copied restricted files from student portal,Deterministic synthetic example; human validation required.,test
SYN-535,SYN-535,English,English,A departing staff member copied restricted files from library,A departing staff member copied restricted files from library,Offline submission,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-06,A departing staff member copied restricted files from library,Deterministic synthetic example; human validation required.,train
SYN-682,SYN-682,English,English,The screen changed and I am not sure whether it is a security issue,The screen changed and I am not sure whether it is a security issue,Image,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-06,The screen changed and I am not sure whether it is a security issue,Deterministic synthetic example; human validation required.,train
SYN-700,SYN-700,English,English,The screen changed and I am not sure whether it is a security issue,The screen changed and I am not sure whether it is a security issue,Web form,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-09,The screen changed and I am not sure whether it is a security issue,Deterministic synthetic example; human validation required.,test
SYN-606,SYN-606,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,TXT,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-01,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,train
SYN-437,SYN-437,Nigerian Pidgin,Nigerian Pidgin,Fake invoice change account wey student portal suppose pay Reported by user36@example.test on 08030000036.,Fake invoice change account wey student portal suppose pay Reported by user36@example.test on 08030000036.,Email,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,Email; Nigerian telephone number,CL-09-07,Fake invoice change account wey student portal suppose pay Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-253,SYN-253,English,English,A scheduled software update restarted the laptop normally,A scheduled software update restarted the laptop normally,Screenshot,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-00,A scheduled software update restarted the laptop normally,Deterministic synthetic example; human validation required.,train
SYN-586,SYN-586,English,English,The test page reveals software version details at https://verify-35.example.test/login,The test page reveals software version details at https://verify-35.example.test/login,Web form,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,https://verify-35.example.test/login,None,CL-12-07,The test page reveals software version details at https://verify-35.example.test/login,Deterministic synthetic example; human validation required.,train
SYN-118,SYN-118,English,English,The department computer is locked and attackers demand cryptocurrency,The department computer is locked and attackers demand cryptocurrency,Image,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-03,The department computer is locked and attackers demand cryptocurrency,Deterministic synthetic example; human validation required.,train
SYN-414,SYN-414,English,English,The finance transfer was redirected after a supplier email change,The finance transfer was redirected after a supplier email change,Offline submission,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-02,The finance transfer was redirected after a supplier email change,Deterministic synthetic example; human validation required.,train
SYN-458,SYN-458,English,English,Repeated requests overwhelmed email and users cannot connect,Repeated requests overwhelmed email and users cannot connect,Web form,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,None,CL-10-01,Repeated requests overwhelmed email and users cannot connect,Deterministic synthetic example; human validation required.,train
SYN-103,SYN-103,English,English,The department computer is locked and attackers demand cryptocurrency,The department computer is locked and attackers demand cryptocurrency,Screenshot,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-00,The department computer is locked and attackers demand cryptocurrency,Deterministic synthetic example; human validation required.,train
SYN-359,SYN-359,Nigerian Pidgin,Nigerian Pidgin,Person wey we no know enter bursary as admin from 192.0.2.9,Person wey we no know enter bursary as admin from 192.0.2.9,Email,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.9,None,CL-08-01,Person wey we no know enter bursary as admin from 192.0.2.9,Deterministic synthetic example; human validation required.,train
SYN-284,SYN-284,English,English,The bursary portal is slow but there is no unusual login or password request Reported by user33@example.test on 08030000033.,The bursary portal is slow but there is no unusual login or password request Reported by user33@example.test on 08030000033.,TXT,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-06-06,The bursary portal is slow but there is no unusual login or password request Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-507,SYN-507,English,English,A departing staff member copied restricted files from student portal Reported by user6@example.test on 08030000006.,A departing staff member copied restricted files from student portal Reported by user6@example.test on 08030000006.,Offline submission,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,Email; Nigerian telephone number,CL-11-01,A departing staff member copied restricted files from student portal Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-185,SYN-185,English,English,A suspicious program keeps running and redirects the browser,A suspicious program keeps running and redirects the browser,Offline submission,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-04-06,A suspicious program keeps running and redirects the browser,Deterministic synthetic example; human validation required.,train
SYN-598,SYN-598,English,English,The test page reveals software version details at https://verify-47.example.test/login,The test page reveals software version details at https://verify-47.example.test/login,TXT,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,https://verify-47.example.test/login,None,CL-12-09,The test page reveals software version details at https://verify-47.example.test/login,Deterministic synthetic example; human validation required.,test
SYN-078,SYN-078,English,English,I received an OTP I did not request and my email shows a new login Reported by user27@example.test on 08030000027.,I received an OTP I did not request and my email shows a new login Reported by user27@example.test on 08030000027.,Offline submission,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-02-05,I received an OTP I did not request and my email shows a new login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-261,SYN-261,English,English,My printer is offline and the help desk page will not load,My printer is offline and the help desk page will not load,Image,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-02,My printer is offline and the help desk page will not load,Deterministic synthetic example; human validation required.,train
SYN-680,SYN-680,English,English,The screen changed and I am not sure whether it is a security issue,The screen changed and I am not sure whether it is a security issue,Email,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-05,The screen changed and I am not sure whether it is a security issue,Deterministic synthetic example; human validation required.,train
SYN-642,SYN-642,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,Offline submission,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-08,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,test
